,50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
447,,,,,,,,,,,,,,,,,,0.800004,,,,,,,,,,,,,,84b5c588-14b4-496d-88e9-acd49db8ecab,1514,,"[56.0, 58.0]",3895086,32,,,,-0.40147105,,Right Foot,,,,"[66.6, 53.5]",,Ground Pass,,11.515641,,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Left Defensive Midfield,58,Bayer Leverkusen,904,['eb3828f9-7c39-438b-a6d1-6d4539d32021'],20,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:32:20.171,Pass,
448,,,,,,,,,,,,,,,,,,0.822321,,,,,,,,,,,,,,c7903432-fd3a-4091-8ee4-439316557e6f,1517,,"[67.9, 52.9]",3895086,32,,,,0.0,,Right Foot,,,,"[77.5, 52.9]",,Ground Pass,,9.6,,,,Victor Okoh Boniface,32289.0,,,,,,1,From Free Kick,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,58,Bayer Leverkusen,904,['afa1fe52-30f0-46bf-aec6-bd77f8a5a317'],21,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:32:21.550,Pass,
449,,,,,,,,,,,,,,,,,,2.366765,,,,,,,,,,,,,,c2b8ed26-fae7-48b6-ba4d-d7d3fb885c8e,1521,,"[77.5, 53.2]",3895086,32,,,,1.5477235,,Right Foot,,,,"[78.1, 79.2]",,Ground Pass,,26.006922,,Out,,Jeremie Frimpong,32712.0,,,,,,1,From Free Kick,Victor Okoh Boniface,32289.0,Center Forward,58,Bayer Leverkusen,904,"['762b76b1-179e-4d74-95cb-3060e59063c9', '93048cc7-825f-4244-bf47-6e11d952957e']",22,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:32:22.807,Pass,True
450,,,,,,,,,,,,,,,,,,1.323294,,,,,,,,,,,,,,a84c7d43-de70-4a33-9650-c95a5c655c4f,1523,,"[49.3, 0.1]",3895086,32,,,,0.6682894,,,,,,"[64.5, 12.1]",,High Pass,,19.36595,,,,Eren Sami Dinkçi,67007.0,,,,,Throw-in,1,From Throw In,Jonas Föhrenbach,9109.0,Left Back,59,FC Heidenheim,201,['1c27a48a-bfba-4f5f-beb0-e024061b990c'],37,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:37.685,Pass,
451,,,,,,,,,,,,,,,,,,2.072302,,,,,,,,,,,,,,8fc3bb3c-7ad2-49fe-a39e-f369a6f75b14,1531,,"[42.2, 57.7]",3895086,32,,,,-1.5356202,,Right Foot,,,,"[43.4, 23.6]",,Ground Pass,,34.12111,,,,Alejandro Grimaldo García,10336.0,,,,,,1,Regular Play,Jeremie Frimpong,32712.0,Right Wing Back,60,Bayer Leverkusen,904,['d5beb8fa-e758-4852-b039-d5fa15594862'],43,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:32:43.996,Pass,
452,,,,,,,,,,,,,,,,,,3.01204,,,,,,,,,,,,,,e8d0c891-031e-4006-8d9a-c233d291af69,1534,,"[56.0, 23.6]",3895086,32,,,,0.7660163,,Left Foot,,,,"[100.7, 66.6]",,High Pass,,62.024914,,,,Jonas Hofmann,8804.0,,True,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,60,Bayer Leverkusen,904,['16916fd0-8151-4c78-9c7c-9c0c1e1064b8'],47,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:32:47.586,Pass,
453,,,,,,,,,,,,,,,,,,1.572552,,,,,,,,,,,,,,e6c301e8-407a-496c-b90f-a7cc69be1d3d,1539,,"[12.1, 17.3]",3895086,32,,,,1.9955292,,Right Foot,,,,"[3.1, 37.2]",,Ground Pass,,21.840559,,,,Kevin Müller,9205.0,,,,,Recovery,1,Regular Play,Jonas Föhrenbach,9109.0,Left Back,61,FC Heidenheim,201,"['77e259cb-4429-486c-a62f-858dbfe7f1d0', '95f7361e-83f5-4fe4-b378-018315e8b9d9']",52,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:52.463,Pass,True
454,,,,,,,,,,,,,,,,,,1.983012,,,,,,,,,,,,,,edcb7743-0d85-456b-a55a-d8a744649831,1543,,"[3.1, 37.5]",3895086,32,,,,1.4853882,,Left Foot,,,,"[5.6, 66.7]",,Ground Pass,,29.306826,,,,Patrick Mainka,10303.0,,,,,,1,Regular Play,Kevin Müller,9205.0,Goalkeeper,61,FC Heidenheim,201,['4529e488-5d06-43b8-b397-6215f962eda2'],55,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:55.515,Pass,
455,,,,,,,,,,,,,,,,,,1.43297,,,,,,,,,,,,,,d90ff87f-f347-4946-a530-74d387b7d28a,1546,,"[5.9, 66.7]",3895086,32,,,,0.5955553,,Right Foot,,,,"[21.1, 77.0]",,Ground Pass,,18.3611,,,,Omar Haktab Traorè,48959.0,,,,,,1,Regular Play,Patrick Mainka,10303.0,Right Center Back,61,FC Heidenheim,201,['aec717dc-683d-44b0-b678-fed5ef6defc9'],57,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:57.538,Pass,
456,,,,,,,,,,,,,,,,,,1.017253,,,,,,,,,,,,,,ceafa8d2-8478-4396-b968-a4b96608cf89,1549,,"[21.1, 77.0]",3895086,32,,,,-1.5707964,,Right Foot,,,,"[21.1, 61.6]",,Ground Pass,,15.4,,,,Lennard Maloney,133483.0,,,,,,1,Regular Play,Omar Haktab Traorè,48959.0,Right Back,61,FC Heidenheim,201,['1a73e13a-8648-424f-a860-47622c20ad86'],59,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:59.011,Pass,
