,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
988,,,,,,,,,,,,,,,,,,0.464379,,,,,,,,,,,,,,8ffeae77-dcde-4acb-a15c-13bff47a3ff6,3372,,"[52.9, 4.8]",3895134,82,,,,-2.4492583,,Right Foot,,,,"[48.8, 1.4]",,Low Pass,5.3263497,,,,,Alejandro Grimaldo García,10336.0,,,,,,,2,From Throw In,Exequiel Alejandro Palacios,28268.0,Left Center Midfield,137,Bayer Leverkusen,904,['33c8cc4c-ff36-4ed5-8f16-4715fc78fa4d'],19,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:37:19.764,Pass,
989,,,,,,,,,,,,,,,,,,1.919841,,,,,,,,,,,,,,65e0423e-55bc-427f-bc27-a317c5980ff1,3375,,"[48.3, 1.2]",3895134,82,,,,0.15169193,,Left Foot,,,,"[64.0, 3.6]",,Low Pass,15.8823805,,,Incomplete,,Victor Okoh Boniface,32289.0,,,,,,,2,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,137,Bayer Leverkusen,904,"['4bde7553-f2c6-4076-a32d-2b8ceb552d5b', 'a3779179-49fb-48fd-a8c5-1bd12e5ce683']",20,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:37:20.308,Pass,
990,,,,,,,,,,,,,,,,,,3.321191,,,,,,,,,,,,,,50ba294e-9f9c-4f16-b797-16fc6752591d,3378,,"[50.1, 78.9]",3895134,82,,,,-2.6418161,,Right Foot,,,,"[17.5, 61.1]",,Ground Pass,37.142967,,,,,Oliver Baumann,8393.0,,,,,,Recovery,2,Regular Play,Ihlas Bebou,8962.0,Right Wing Back,138,Hoffenheim,175,['56c29872-49cf-4fb4-b1ff-a0d11aa66f66'],24,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:37:24.249,Pass,
991,,,,,,,,,,,,,,,,,,1.370516,,,,,,,,,,,,,,8ac1ae08-d24d-476e-85b0-df39d52d480b,3381,,"[17.6, 61.7]",3895134,82,,,,-0.49319565,,Right Foot,,,,"[25.6, 57.4]",,Ground Pass,9.0824,,,,,Kevin Vogt,8397.0,,,,,,,2,Regular Play,Oliver Baumann,8393.0,Goalkeeper,138,Hoffenheim,175,['b581908e-d843-48bc-a484-7e43e9d3b079'],27,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:37:27.838,Pass,
992,,,,,,,,,,,,,,,,,,1.316535,,,,,,,,,,,,,,ac54a1b2-dddc-4453-8b32-00acb48b61cb,3383,,"[28.4, 56.6]",3895134,82,True,,,-1.1609836,,Right Foot,,,,"[48.6, 10.1]",,Ground Pass,50.69803,,,,,Kevin Akpoguma,13292.0,,,True,,,,2,Regular Play,Kevin Vogt,8397.0,Center Back,138,Hoffenheim,175,['1ebd8228-7b1c-443b-8366-4f5610fea99b'],34,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:37:34.540,Pass,
993,,,,,,,,,,,,,,,,,,1.217011,,,,,,,,,,,,,,4a4ec149-05a9-44a1-8e42-c017804b3c0e,3385,,"[71.1, 12.5]",3895134,82,,,,-0.9407624,,Right Foot,,,,"[78.1, 2.9]",,Ground Pass,11.881078,,,,,Marius Bülter,9133.0,,,,,,,2,Regular Play,Kevin Akpoguma,13292.0,Left Center Back,138,Hoffenheim,175,['0539ddec-2794-4ee3-8f74-7cd6048f7e6a'],38,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:37:38.012,Pass,
994,,,,,,,,,,,,,,,,,,1.150599,,,,,,,,,,,,,,a1bde5b2-8d5a-45a7-8e5e-d74694aed8e3,3391,,"[40.8, 80.0]",3895134,83,,,,-0.3357777,,,,,,"[55.7, 74.8]",,High Pass,15.781318,,,,,Victor Okoh Boniface,32289.0,,,,,,Throw-in,2,From Throw In,Josip Stanišić,49337.0,Right Center Back,139,Bayer Leverkusen,904,['41eb74a1-9267-48bc-acd8-091c3ffd9e47'],1,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:01.451,Pass,
995,,,,,,,,,,,,,,,,,,2.096881,,,,,,,,,,,,,,bb4156a9-2808-4e58-8f1b-9b4929cf4649,3393,,"[55.7, 74.8]",3895134,83,,,,0.02739041,,Head,,,,"[63.0, 75.0]",,High Pass,7.302739,,,Incomplete,,,,,,,,,,2,From Throw In,Victor Okoh Boniface,32289.0,Left Center Forward,139,Bayer Leverkusen,904,['6c37991d-bdfd-4db3-9497-4462ccb548ec'],2,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:02.602,Pass,
996,,,,,,,,,,,,,,,,,,4.078822,,,,,,,,,,,,,,6c37991d-bdfd-4db3-9497-4462ccb548ec,3395,,"[57.1, 5.1]",3895134,83,,,,0.0,,Left Foot,,,,"[85.1, 5.1]",,High Pass,28.0,,,Incomplete,,Maximilian Beier,35242.0,,,,,,Recovery,2,From Throw In,Kevin Vogt,8397.0,Center Back,139,Bayer Leverkusen,904,"['358dde0b-a014-4d40-9918-c6c0a760c22a', '60d0ed56-cac2-45d5-9ef1-a713f1800c42', 'bb4156a9-2808-4e58-8f1b-9b4929cf4649']",4,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:04.699,Pass,
997,,,,,,,,,,,,,,,,,,0.89169,,,,,,,,,,,,,,358dde0b-a014-4d40-9918-c6c0a760c22a,3397,,"[35.0, 75.0]",3895134,83,,,,0.35470566,,Head,,,,"[40.4, 77.0]",,Low Pass,5.758472,,,,,Josip Stanišić,49337.0,,,,,,Recovery,2,From Throw In,Robert Andrich,9195.0,Right Center Midfield,139,Bayer Leverkusen,904,"['6c37991d-bdfd-4db3-9497-4462ccb548ec', 'b794288a-073b-4cd3-9096-1ca5878be82d']",8,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:08.778,Pass,
