,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
1178,,,,,,,,,,,,,,,,,1.614077,,,,,,,,,,,,,,c691d879-253b-42e9-ab00-d944b3ca1035,4054,,"[31.2, 3.7]",3895060,88,,,,,2.334364,,Right Foot,,,,"[8.8, 27.1]",,Ground Pass,,32.393208,,,Lukáš Hrádecký,8667.0,,,,,,2,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,166,Bayer Leverkusen,904,['3ef199a4-dd51-4cab-ab03-b9c7aea4bbaa'],18,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:18.984,Pass,
1179,,,,,,,,,,,,,,,,,1.130288,,,,,,,,,,,,,,68353a87-7219-46f9-b8fe-8e91a7610cc7,4057,,"[9.7, 37.0]",3895060,88,,,,,-1.5638034,,Right Foot,,,,"[9.8, 22.7]",,Ground Pass,,14.300349,,,Edmond Fayçal Tapsoba,30606.0,,,,,,2,From Throw In,Lukáš Hrádecký,8667.0,Goalkeeper,166,Bayer Leverkusen,904,['a01df097-96e4-4216-991a-cab5cad6df10'],26,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:26.169,Pass,
1180,,,,,,,,,,,,,,,,,3.181117,,,,,,,,,,,,,,2ab037e0-ab4b-4df6-b6c4-5602f36ccbc6,4061,,"[70.2, 29.2]",3895060,88,,,,,1.0235361,,Right Foot,,,,"[98.9, 76.3]",,Ground Pass,,55.155235,,,Arthur Augusto de Matos Soares,196651.0,,True,,,,2,From Throw In,Edmond Fayçal Tapsoba,30606.0,Left Center Back,166,Bayer Leverkusen,904,['b20d422a-b43d-40ea-b4d9-1115b2554aa4'],38,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:38.344,Pass,
1181,,,,,,,,,,,,,,,,,0.866874,,,,,,,,,,,,,,1f8da5ca-6b21-4ab4-9ee3-8c59bee17754,4065,,"[104.9, 76.3]",3895060,88,,,,,-3.0764675,,Right Foot,,,,"[91.1, 75.4]",,Ground Pass,,13.829317,,,Josip Stanišić,49337.0,,,,,,2,From Throw In,Arthur Augusto de Matos Soares,196651.0,Right Wing,166,Bayer Leverkusen,904,"['2124b619-7e5e-43e9-a62b-69102f75bda4', 'bbd517a5-a898-4a2f-8c76-9f41af73b01a']",42,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:42.739,Pass,True
1182,,,,,,,,,,,,,,,,,1.526738,,,,,,,,,,,,,,326bb707-c0dc-48c6-955e-1400998ff99e,4068,,"[90.7, 75.1]",3895060,88,,,,,-2.1335335,,Right Foot,,,,"[78.4, 55.6]",,Ground Pass,,23.055151,,,Robert Andrich,9195.0,,,,,,2,From Throw In,Josip Stanišić,49337.0,Right Back,166,Bayer Leverkusen,904,['a9f7c837-5eea-4abf-9c80-7fa3b32e6ba8'],46,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:46.141,Pass,
1183,,,,,,,,,,,,,,,,,1.54608,,,,,,,,,,,,,,39334ebf-818f-4324-86d7-588551380d2f,4071,,"[85.4, 59.8]",3895060,88,,,,,0.82067764,,Right Foot,,,,"[101.8, 77.4]",,Ground Pass,,24.0566,,,Arthur Augusto de Matos Soares,196651.0,,,,,,2,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,166,Bayer Leverkusen,904,['e5800f6d-f85e-4943-bd1d-9de24eea3a1e'],50,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:50.452,Pass,
1184,,,,,,,,,,,,,,,,,0.980966,,,,,,,,,,,,,,246df098-10a5-4502-add3-9ad53e3eb205,4074,,"[102.6, 78.0]",3895060,88,,,,,-1.094531,,Right Foot,,,,"[109.1, 65.4]",,Ground Pass,,14.177799,,,Gustavo Adolfo Puerta Molano,261630.0,,,,,,2,From Throw In,Arthur Augusto de Matos Soares,196651.0,Right Wing,166,Bayer Leverkusen,904,['79505524-189e-4ebc-b0fb-b43d7e64d139'],52,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:52.226,Pass,
1185,,,,,,,,,,,,,,,,,0.981138,,,,,,,,,,,,,,c9482c3e-c436-40be-b067-61a259cfea20,4077,,"[106.1, 71.2]",3895060,88,,,,,2.9592438,,Other,,,,"[92.0, 73.8]",,Ground Pass,,14.337712,,,Josip Stanišić,49337.0,,,,,,2,From Throw In,Gustavo Adolfo Puerta Molano,261630.0,Center Attacking Midfield,166,Bayer Leverkusen,904,['755507e7-351d-447f-917f-cc98d8c28fe9'],55,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:55.770,Pass,
1186,,,,,,,,,,,,,,,,,0.608016,,,,,,,,,,,,,,99237be1-46df-418f-beb0-b72a6c89abe3,4080,,"[91.4, 71.4]",3895060,88,,,,,-1.7053943,,Other,,,,"[90.1, 61.8]",,Ground Pass,,9.687621,,,Robert Andrich,9195.0,,,,,,2,From Throw In,Josip Stanišić,49337.0,Right Back,166,Bayer Leverkusen,904,['9d88917d-153b-4934-a82c-76c32e2f5d9c'],58,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:58.101,Pass,
1187,,,,,,,,,,,,,,,,,0.614609,,,,,,,,,,,,,,4ff49fa4-9bb4-4919-a78c-4112aa2894df,4083,,"[90.2, 59.8]",3895060,88,,,,,-1.5208379,,Right Foot,,,,"[90.5, 53.8]",,Ground Pass,,6.0074954,,,Granit Xhaka,3500.0,,,,,,2,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,166,Bayer Leverkusen,904,['e8fc46c4-8038-4503-8af6-75e61078d5dc'],59,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:59.853,Pass,
