,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
629,,,,,,,,,,,,,,,,,,,0.994185,,,,,,,,,,,,200f5147-dc61-4003-bccb-e38630c97c3e,2183,,,"[57.1, 21.5]",3895095,48,,,,,1.8005381,,Right Foot,,,,"[54.2, 33.9]",,Ground Pass,,12.734598,,,Exequiel Alejandro Palacios,28268.0,,,,,,,2,Regular Play,Jonas Hofmann,8804.0,Left Attacking Midfield,81,Bayer Leverkusen,904,['468c6999-87cd-47ec-babb-791b831cf349'],34,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:34.111,Pass,
630,,,,,,,,,,,,,,,,,,,1.132264,,,,,,,,,,,,96a8e059-4a98-46b2-99a6-384cd5380a77,2186,,,"[56.0, 36.3]",3895095,48,,,,,1.3965806,,Right Foot,,,,"[58.2, 48.8]",,Ground Pass,,12.692123,,,Granit Xhaka,3500.0,,,,,,,2,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,81,Bayer Leverkusen,904,['494ffdf5-ff8b-4571-b9d5-2850f69540e8'],37,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:37.056,Pass,
631,,,,,,,,,,,,,,,,,,,1.125642,,,,,,,,,,,,7f461c2b-72ab-4d84-a9e4-eea48f024299,2189,,,"[65.7, 54.8]",3895095,48,,,,,-2.3502066,,Left Foot,,,,"[57.4, 46.4]",,Ground Pass,,11.808895,,,Jonathan Tah,8221.0,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,81,Bayer Leverkusen,904,['998e6e93-4370-4338-8641-bd10c4b43bf0'],41,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:41.666,Pass,
632,,,,,,,,,,,,,,,,,,,0.733571,,,,,,,,,,,,f6da19bf-9263-4fda-9caa-052cca63370e,2192,,,"[57.0, 45.8]",3895095,48,,,,,0.9565468,,Right Foot,,,,"[63.7, 55.3]",,Ground Pass,,11.624973,,,Granit Xhaka,3500.0,,,,,,,2,Regular Play,Jonathan Tah,8221.0,Center Back,81,Bayer Leverkusen,904,['fb2f5e54-41c5-41cd-8df4-32d626b629f0'],44,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:44.530,Pass,
633,,,,,,,,,,,,,,,,,,,0.975084,,,,,,,,,,,,5cf5f9a2-04b4-479e-89e7-4413b556cbdf,2195,,,"[63.3, 54.7]",3895095,48,,,,,-1.4702194,,Left Foot,,,,"[64.4, 43.8]",,Ground Pass,,10.955364,,,Exequiel Alejandro Palacios,28268.0,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,81,Bayer Leverkusen,904,['977c3d1a-6870-4be7-a593-e2a82b92adc0'],45,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:45.803,Pass,
634,,,,,,,,,,,,,,,,,,,1.095013,,,,,,,,,,,,ae265a37-119c-4043-bcc9-94f330146388,2198,,,"[64.0, 43.8]",3895095,48,,,,,0.95613337,,Right Foot,,,,"[70.0, 52.3]",,Ground Pass,,10.404326,Incomplete,,Florian Wirtz,40724.0,,,,,,,2,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,81,Bayer Leverkusen,904,"['591bd9b1-29ec-4bec-a324-167839c3512b', 'c52aa4f9-dcbf-4353-baf3-6a99312d9595']",47,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:47.377,Pass,
635,,,,,,,,,,,,,,,,,,,0.717059,,,,,,,,,,,,5e05c528-418f-40b3-bdd1-ea93e4c444c0,2203,,,"[52.9, 27.1]",3895095,48,,,,,-1.6680496,,Right Foot,,,,"[52.5, 23.0]",,Ground Pass,,4.119466,,,Leandro Barreiro Martins,23402.0,,,,,,,2,Regular Play,Jae-Sung Lee,5623.0,Left Wing,82,FSV Mainz 05,177,['2fd8303e-ba6c-4e42-a85a-e8b3f7a9d7ca'],49,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:49.133,Pass,
636,,,,,,,,,,,,,,,,,,,0.814112,,,,,,,,,,,,1f24bbe3-0211-4343-bfef-0a5ffb33512c,2206,,,"[52.5, 23.2]",3895095,48,,,,,1.8721416,,Right Foot,,,,"[50.2, 30.6]",,Ground Pass,,7.7491937,,,Dominik Kohr,8207.0,,,,,,,2,Regular Play,Leandro Barreiro Martins,23402.0,Right Defensive Midfield,82,FSV Mainz 05,177,['af91c164-c1e2-4db5-bb27-0a4fd9c6d2a4'],49,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:49.954,Pass,
637,,,,,,,,,,,,,,,,,,,1.156471,,,,,,,,,,,,700e2912-5a8c-4fcd-8149-a24b3855e9cb,2208,,,"[50.2, 30.5]",3895095,48,,,,,-2.5935688,,Right Foot,,,,"[42.5, 25.8]",,Ground Pass,,9.021087,,,Edimilson Fernandes,3913.0,,,,,,,2,Regular Play,Dominik Kohr,8207.0,Left Defensive Midfield,82,FSV Mainz 05,177,['0f5d783b-e139-44ba-9cb2-0ecb70f61553'],50,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:50.768,Pass,
638,,,,,,,,,,,,,,,,,,,0.811086,,,,,,,,,,,,3f1cbb24-3fb9-47c3-a342-ba02e3e2f57e,2211,,,"[38.0, 24.8]",3895095,48,,,,,-0.5603599,,Right Foot,,,,"[43.1, 21.6]",,Ground Pass,,6.0207973,,,Leandro Barreiro Martins,23402.0,,,,,,,2,Regular Play,Edimilson Fernandes,3913.0,Left Center Back,82,FSV Mainz 05,177,['8e2901b5-95d3-4d40-afc2-aaa1eabf33d8'],54,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:54.167,Pass,
